lumberjack lumberman timberman
bridget brigid
emancipative emancipating liberating
vancomycin vancocin
niggard grabber scrooge skinflint
sooty coal-black jet-black
crotchetiness crankiness grumpiness
captivate enamor enamour
titanosaurian titanosaur
yokel bumpkin chawbacon hayseed rube
valhalla elysium
dampish moist
cotyloid acetabular cotyloidal
dissimilarity unsimilarity
determinist predestinationist
pollination pollenation
carinated keeled ridged
declivitous downward-sloping
briery barbellate briary bristled burred burry spiny
unyieldingness adamance obduracy
humpbacked crookbacked humped hunchbacked
bluffly bluntly brusquely
unlocked unbarred unbolted unlatched
reanimate revivify vivify
taro dasheen
tarp tarpaulin
ketembilla kitambilla kitembilla
panicked panic-stricken panic-struck panicky terrified
dilly-dally procrastinate
unlighted unlit
recumbent accumbent decumbent
hayfield meadow
climactic climactical
solleret sabaton
physchometrika psychometrics psychometry
landsmal nynorsk
attacapan atakapa
streetcar tramcar trolley
landsman landlubber
adored idolized worshipped
revocable revokable
globular ball-shaped globose spheric
guangzhou kuangchou kwangchow
hoosier indianan
wintera pseudowintera
illation inference
womanizer philanderer womaniser
sweetbrier eglantine sweetbriar
fortunately fortuitously luckily
poetize versify
palaeornithology paleornithology
inframaxillary mandibular
atomiser atomizer
filming cinematography
omelet omelette
anencephalous anencephalic
legibly decipherably readably
mid-thirties thirty-something
procurement procural procurance
supposedly purportedly
overexploitation overutilisation overutilization
awe-inspiring awesome awing
tatu tatou
immensity enormousness immenseness sizeableness vastness
underclothed half-clothed
marxism bolshevism leninism marxism-leninism sovietism
improvised jury-rigged
butazolidin phenylbutazone
decarbonize decarburize decoke
vasiform tube-shaped tubelike
kalif calif caliph kaliph khalif
subbing substituting
superciliously sneeringly snidely
speckless spotless
abulia aboulia
genealogic genealogical
panicky panic-stricken panic-struck panicked terrified
qintar qindarka
abulic aboulic
underclothes underclothing underwear
fluoridation fluoridization
conduction conductivity
besmirched sullied tarnished
dipteran dipteron
hocus-pocus jiggery-pokery skulduggery skullduggery
staidly soberly
archipallium paleocortex
inedible uneatable
vivify reanimate revivify
deputation delegation
mussitate maffle
lingua glossa
reciprocatory reciprocating
dextrorsal dextrorse
ensilage silage
razmataz razzle razzle-dazzle razzmatazz
morbific pathogenic
conflate immix
baldness phalacrosis
gimp claudication gameness gimpiness lameness limping
flotation floatation
flapping flopping
bladderlike bladdery
openhanded bighearted bounteous
forgoing forswearing
lactate breastfeed wet-nurse
sixteen xvi
enflurane ethrane
viscometer viscosimeter
doctorial doctoral
kalka khalka khalkha
blueing bluing
pleonastic tautologic tautological
banality cliche platitude
retry rehear
eightfold octuple
supplant supersede
clomid clomiphene
exciseman taxman
aflaxen aleve anaprox
phlebogram venogram
antitypical antitypic
narwal narwhal narwhale
glycerole glycerite
fairy-slipper calypso
inconsideration inconsiderateness
cloddish doltish
borecole colewort
skillfully skilfully
brusquely bluffly bluntly
foot-lambert ft-l
landward landwards
exulting exultant
peephole spyhole
shrivelled shriveled
flier flyer
phoebus apollo
dependably faithfully reliably
re-emerge reappear
dolichocephalic dolichocranal dolichocranic
racehorse bangtail
cross-questioner cross-examiner
g-jo acupressure shiatsu
perturbed flustered rattled
archaeology archeology
malignance malignancy
fluoridate fluoridize
imbauba trumpetwood
insurrectionary insurrectional
sheikdom sheikhdom
multifaceted multifarious
untrustworthiness untrustiness
catty-corner cata-cornered catacorner cater-cornered catercorner catty-cornered kitty-corner kitty-cornered
aspherical aspheric
replenishment refilling
untypically atypically
nonrenewable unrenewable
goldworker goldsmith
gentlemanlike gentlemanly
azidothymidine azt zidovudine
malignancy malignance
arguer debater
rapidity celerity
secretaire escritoire
self-moving self-acting self-activating self-regulating
koumiss kumis
guine-bissau guinea-bissau
airplane aeroplane
kalian hookah hubble-bubble narghile
guttiferae clusiaceae
lividness achromasia pallidness pallor wanness
operoseness laboriousness toilsomeness
enjoyable pleasurable
breadthways breadthwise broadwise
trigonal rhombohedral
sterope asterope
floc floccule
coccidiomycosis coccidioidomycosis
round-faced moon-faced
faker imposter impostor pretender pseud
vinegarishness vinegariness
enjoyably agreeably
argufy altercate
distrustfully mistrustfully
khoikhoi hottentot khoikhoin
girt begird
ameba amoeba
myxinoidea hyperotreta myxiniformes myxinoidei
thinner dilutant dissolvent dissolver resolvent
promisor promiser
myxinoidei hyperotreta myxiniformes myxinoidea
bowse bouse
cryoanesthesia cryoanaesthesia
runniness fluidity fluidness
quickest fastest
loyang luoyang
mesoblast mesoderm
hematologic haematological hematological
blueish bluish
tumour neoplasm tumor
turaco touraco turacou turakoo
terror-stricken terror-struck
flustered perturbed rattled
trichopteran trichopteron
self-contemplation introspection self-examination
filamentlike filamentous threadlike
defalcation embezzlement peculation
inanity pointlessness senselessness
coniferous cone-bearing
appanage apanage
doubtfulness dubiousness
rabid fanatical overzealous
rupestral rupicolous
lobworm lugworm
phasmida phasmatodea
certificated credentialed
phantasmal apparitional ghostlike ghostly
hypognathous prognathic prognathous
plowboy ploughboy
exacerbating aggravating
bedevilment badgering
adage byword proverb
bahrain bahrein
rhetorician orator speechmaker
typesetter compositor typographer
perked perched
ingenuity ingeniousness
phantasmagorical phantasmagoric surrealistic
inaccessibility unavailability
contagiously infectiously
meson mesotron
dyushambe dusanbe dushanbe
never-ending ceaseless unremitting
homeothermic homoiothermic homothermic
grumpy bad-tempered crabbed crabby grouchy ill-tempered
calvinistical calvinistic
baptise baptize christen
squeaking screechy squeaky squealing
catoptric catoptrical
telegraphist telegrapher
hoy flatboat
aesthetician esthetician
guerilla guerrilla
looker-on onlooker
muddleheaded addlebrained addlepated puddingheaded
wilfully willfully
durability enduringness lastingness
bedeck bedight
nightmarish bloodcurdling hair-raising
eosinophile eosinophil
rotundly sonorously
obstetrics tocology
capsulate capsulated
dioecious dioecian
follow-up reexamination
gullibility credulousness
ameer amir emeer emir
imparting impartation
fakir fakeer faqir faquir
ballyrag bullyrag
racetrack racecourse
ironical ironic
chantlike intoned
harlotry prostitution whoredom
cupular cup-shaped cupulate
staph staphylococci staphylococcus
misdating mistiming
blackboard chalkboard
pleuralgia costalgia pleurodynia
androgyne epicine gynandromorph
double-barreled double-barrelled
bourne bourn
nonadsorptive nonadsorbent
diestrual diestrous dioestrous dioestrual
amnionic amnic amniotic
peevish pettish petulant techy testy tetchy
matriarchy matriarchate
solicitude solicitousness
broad-leafed broad-leaved broadleaf
modeled sculpturesque
criminative criminatory incriminating incriminatory
androgyny hermaphroditism
inundated flooded
scampo langoustine
inexpungeable inexpungible
modeler modeller
flub botch
fired dismissed laid-off pink-slipped
cloud-covered sunless
clapping applause
aminic amino
rau-sed reserpine sandril serpasil
extenuate mitigate
expandable expandible expansible
half-timbered half-timber
stoneface lithops
vermicular vermiculated
tercel tercelet tiercel
amentia idiocy
unequalised unequalized
ariose songlike
manumitter emancipator
tercet deuce-ace ternion terzetto trine
articular articulary
liliopsid monocot monocotyledon
donbass donbas
confoundedly perplexedly
rubeola measles morbilli
montage collage
unaccredited unlicenced unlicensed
deshabille dishabille
botanical botanic
variola smallpox
messy mussy
bewilderingly confusingly
dammar damar
voyeuristical voyeuristic
dwelling domicile
unwarrantable insupportable unjustifiable
rabato rebato
hairdresser hairstylist
deaf-mutism deaf-muteness
inexpressible unexpressible
propenal acrolein
picklepuss sourpuss
rodent gnawer
angevine angevin
perambulator pram pushchair
indistinguishability identicalness
motto catchword slogan
microphone mike
laconism laconicism
anchorman anchorperson
heavenwards heavenwardly
tsetse glossina tzetze
revengefully vengefully vindictively
ambrosial ambrosian
ramshackle dilapidated tumble-down
aeonian eonian
legalisation legalization
ambrosian ambrosial
unboundedness boundlessness infiniteness limitlessness
cheesy crummy
trave crossbeam
debonair debonaire
dipteron dipteran
burned-out burnt-out
polyose polysaccharide
cerriped cerripede
methylenedioxymethamphetamine mdma
farthermost furthermost
campground campsite
unbeaten unconquered unvanquished
ghostliness eeriness
praetorial pretorial
cuon cyon
praetorian pretorian
dissyllable disyllable
sitsang thibet tibet
pestered harassed harried
emphatically decidedly definitely
cincture waistband waistcloth
demolished dismantled razed
eradicator exterminator terminator
edibility edibleness
whimsy whimsey
bezant bezzant byzant
cantaloup cantaloupe
abstruse recondite
pesterer pest
jugoslav jugoslavian
litterbin litterbasket
baptize baptise christen
synaesthesia synesthesia
prowess artistry
prestigiousness prestige
heartbreak brokenheartedness heartache
losses losings
postcard mailing-card
shakeable shakable
biquadrate quartic
scintillant aglitter fulgid glinting glistering glittering glittery
damgalnunna damkina
shavuot shabuoth shavous shavuoth
clandestine cloak-and-dagger hush-hush undercover
canafistula canafistola
wilfulness fractiousness unruliness willfulness
slouching slouched slumped
scuba aqualung
bionomic bionomical
defensible defendable
greensickness chlorosis
lychee leechee lichi litchee
dietitian dietician nutritionist
cords corduroys
upraised lifted
unlubricated ungreased
allosaur allosaurus
virucidal viricidal
lagan lagend ligan
totally wholly
softie softy
acyclovir zovirax
cocain cocaine
exterritorial extraterritorial
cydippea cydippida cydippidea
coincidentally coincidently
robaxin methocarbamol
nitrous azotic nitric
eurhythmics eurythmics
yes-man dweeb
mendicancy beggary begging
enumerable countable denumerable numerable
lyon lyons
perspicuous luculent
achievable accomplishable doable
zygomorphous zygomorphic
adamance obduracy unyieldingness
allelomorphic allelic
polybutylene polybutene
turkoman turcoman
ament catkin
self-centeredness egocentrism egoism self-concern
ghanese ghanaian
crinkly crinkled wavelike
poland polska
macamba gri-gri grugru
bibulous boozy drunken sottish
testudinata testudines
baleen whalebone
nadolol corgard
conservationist environmentalist
rectilineal rectilinear
blastoderm blastodisc
yarn-dyed dyed-in-the-wool
soothsayer forecaster predictor prognosticator
rectilinear rectilineal
medalist medallist
rupicolous rupestral
web-toed web-footed
kaliph calif caliph kalif khalif
arbitrament arbitrement
foul-mouthed foul-spoken
vaccinia cowpox
dolor dolour
countless innumerable innumerous multitudinous numberless uncounted unnumberable unnumbered unnumerable
crabbed bad-tempered crabby grouchy grumpy ill-tempered
fabulously fantastically
athabascan athabaskan athapascan athapaskan
flourishing thriving
monocracy authoritarianism caesarism dictatorship shogunate stalinism
beaner beanball
fibbing paltering
panjabi punjabi
metameric segmented
paederast pederast
heterograft xenograft
bashfulness abashment
venerated reverenced
airwoman aviatress aviatrix
nosebag feedbag
jail gaol
microcephaly microcephalus nanocephaly
hepatoflavin lactoflavin ovoflavin riboflavin
trichopteron trichopteran
subjugable subduable
goaltender goalie goalkeeper netkeeper
well-founded tenable
panga machete matchet
nauseatingness disgustingness sickeningness unsavoriness
unfavorably unfavourably
extemporisation extemporization
edgewise edgeways
wrathful wroth wrothful
meprobamate equanil meprin miltown
subtropics semitropics
snuff-color snuff-colour
procaryotic prokaryotic
phytology botany
clodhopper brogan brogue
beanball beaner
arugula roquette
romish papistic papistical popish romanist
fjord fiord
protracted lengthy
anginal anginose anginous
eudaemonic eudemonic
serictery sericterium
candidiasis moniliasis
fire-worship pyrolatry
humiliatingly demeaningly
inhomogeneous nonuniform
poker-faced expressionless unexpressive
insurrection uprising
lewdness bawdiness salaciousness salacity
revivalist evangelist gospeler gospeller
thriving flourishing
cursedly damnably
pharmacist apothecary druggist
ceylonite pleonaste
proscribed forbidden
rover roamer wanderer
unswayed uninfluenced
broke skint stone-broke stony-broke
disputatiously argumentatively
fluffiness downiness featheriness
admirably laudably praiseworthily
turkomen turkmenia turkmenistan
fatheaded blockheaded boneheaded loggerheaded thick-skulled thickheaded wooden-headed
byword adage proverb
resinous resiny
hydrophobia rabies
wheelhouse pilothouse
glycerogelatin glycerogel
self-reliance self-direction self-sufficiency
atheromatous atheromatic
penetrability perviousness
induration sclerosis
flavouring flavorer flavoring flavourer seasoner
implanted deep-rooted deep-seated ingrained
hosta funka
grumbler bellyacher complainer moaner sniveler whiner
tiglon tigon
calceolate calceiform
enraged angered infuriated maddened
fontanel fontanelle
ceratosaur ceratosaurus
emeside ethosuximide zarontin
occupant occupier
glycerin glycerine glycerol
invisibleness invisibility
low-tension low-voltage
lithuania lietuva
prognosticate predict
entryway entranceway
redemptional redepmtory
underlay underlayment
beanie beany
precautionary precautional
watchband watchstrap
dumbfounded dumfounded flabbergasted thunderstruck
hydrocharitaceae hydrocharidaceae
paperhanging papering
brome bromegrass
lavabo handbasin
virusoid viroid
dipteryx coumarouna
ceftin cefuroxime zinacef
hospitalisation hospitalization
self-concern egocentrism egoism self-centeredness
besmear bedaub
bowman archer
droshky drosky
reverentially reverently
footslog plod
gujarat gujerat
seismal seismic
taxistand cabstand
throughway expressway freeway motorway superhighway thruway
passover pesach pesah
bronc broncho bronco
heroism valiance valiancy valor valorousness valour valourousness
soppy sodden
ostyak khanty
short-handed short-staffed undermanned understaffed
slavic slavonic
shivah shibah
poignantly affectingly touchingly
bufflehead butterball
despicability baseness contemptibility despicableness
furbelow frill
geographical geographic
inheritable heritable
haulier hauler
fumbler blunderer botcher bumbler bungler
oceania oceanica
belated tardy
labyrinthodonta labyrinthodontia
hypercritical overcritical
northernmost northmost
unobtainable unprocurable
anapestic anapaestic
handheld hand-held
schoolgirlish girlish
justificative justificatory
sociableness sociability
hauler haulier
syndactylism syndactyly
dirigible airship
corny platitudinal platitudinous
chipboard hardboard
philanderer womaniser womanizer
vitidaceae vitaceae
marche marches
chitterlings chitlings chitlins
litterbug litterer
self-realisation self-fulfillment self-realization
dramaturgic dramaturgical
bemire begrime colly
astronautics aeronautics
blowsy blowzy slatternly
assisted aided
unceasingly ceaselessly incessantly unendingly
pilfer filch purloin snarf
secularisation secularization
zyloprim allopurinol
finest high-grade top-grade top-quality
supersensitive hypersensitive hypersensitized sensitized supersensitized
atony amyotonia atonia atonicity
diaphanous cobwebby filmy gauzy see-through
bipartisan bipartizan
canted atilt tilted
extirpable exterminable
heterothermic poikilothermic poikilothermous
surlily churlishly
sedulous assiduous
grommet cringle
plagiaristic plagiarized
unscathed unharmed
ragamuffin tatterdemalion
turbidity turbidness
facetious bantering
amicability amicableness
battleground battlefield
pit-a-pat pitty-pat pitty-patty
trodden trampled
aerophyte epiphyte
transgression evildoing
paraphernalia appurtenances
gladfulness gladness gladsomeness
velban vinblastine
robustness hardiness lustiness
lingo argot
sens marihuana marijuana ganja sess
adorable endearing
relaxing reposeful restful
propenoate acrylate
conciseness pithiness succinctness
improvise extemporise extemporize
protoarcheology protoarchaeology
glycerol glycerin glycerine
guenevere guinevere
pitman collier
orchidectomy orchiectomy
francophile francophil
adorably endearingly
grosbeak grossbeak
nudism naturism
phragmocone phragmacone
silkiness sleekness
allioniaceae nyctaginaceae
palladium pd
leprose lepidote
gnetophytina gnetophyta gnetopsida
fuckhead blockhead bonehead dunce dunderhead knucklehead lunkhead muttonhead numskull shithead
slyly craftily foxily knavishly trickily
lauder applauder extoller laudator
factorization factoring factorisation
immigration in-migration
inauspiciously unpropitiously
hyperemia hyperaemia
self-reliant self-directed
tricksy crafty foxy guileful knavish sly wily
austerity asceticism nonindulgence
niggardliness minginess niggardness tightfistedness
jampot jamjar
delineated represented
hemicrania megrim migraine
ketoaciduria acetonuria ketonuria
precociousness precocity
interment entombment inhumation
piperin piperine
resplendence resplendency
netherlands holland
andrena andrenid
gaffe solecism
sheepfold sheepcote
corse corsica
semiotic semiotical
nudity nakedness nudeness
chitlins chitlings chitterlings
harried harassed pestered
enchained chained
beggary begging mendicancy
viscosimetric viscometric
adduce abduce
inculpation incrimination
queen-size queen-sized
inured enured
austro-asiatic munda-mon-khmer
cacodemon cacodaemon
leopoldville kinshasa
resplendency resplendence
conceptualise conceptualize
frenetic phrenetic
intestine bowel
handicraft handiwork handwork
mandara wandala
ithunn idun
cicatrix cicatrice
methyldopa aldomet
inventive imaginative
geographic geographical
viverrinae viverridae
understaffed short-handed short-staffed undermanned
unacceptably intolerably
grungy begrimed grimy
disfavor disfavour
coseismal coseismic
corrie cirque cwm
bizarreness outlandishness weirdness
mauritania mauritanie muritaniya
noduled nodulated
seismic seismal
mauritanie mauritania muritaniya
preternatuarally supernaturally
serf helot villein
vilify revile vituperate
flashbulb flashgun photoflash
antwerpen antwerp anvers
pichiciego chlamyphore pichiciago
nonmotile immotile
self-loading autoloading
provoker inciter instigant
haemophile bleeder haemophiliac hemophile hemophiliac
olfactive olfactory
almond-shaped amygdaliform amygdaloid amygdaloidal
punning wordplay
instauration founding
chirpily buoyantly
warehouser warehouseman
whiner bellyacher complainer grumbler moaner sniveler
nitroglycerine nitroglycerin trinitroglycerin
chapatti chapati
refinisher preserver renovator restorer
horseflesh horsemeat
liopelma leiopelma
whiney querulous whiny
way-out far-out offbeat quirky
ideological ideologic
bilocular biloculate
sess marihuana marijuana sens ganja
epha ephah
spirant fricative
acicular acerate acerose needle-shaped
chromium cr
tabernacles succos sukkoth
instructed schooled taught tutored
blowzy blowsy slatternly
praetorium pretorium
hauling trucking
meagreness exiguity meagerness scantiness scantness
taxing burdensome onerous
self-torture self-torment
panty pantie step-in
swollen-headed conceited self-conceited
washed-up sunk
blackhead comedo
bone-idle bone-lazy
amenorrhoea amenia amenorrhea
hag-ridden hagridden
obsequiously servilely subserviently
meritable meritorious
crottal crotal crottle
iii three
negotiation talks
reuse reprocess
clattery clattering
unexcelled unexceeded unsurpassed
edict fiat
unsubmissive unservile
kannada kanarese
moulting ecdysis molting
idun ithunn
vaulted domed
cacodaemonic cacodemonic
ocellus eyespot
plutocratical plutocratic
desalinisation desalination desalinization
glittering aglitter fulgid glinting glistering glittery scintillant
hollander dutchman netherlander
dracenaceae dracaenaceae
crenellate crenelate
repressing inhibiting inhibitory repressive
opportunistic timeserving
hifalutin highfalutin highfaluting hoity-toity la-di-da
taiwan formosa
designedly advisedly intentionally purposely
umpiring officiating officiation refereeing
volubly chattily
secular laic
dolabriform dolabrate
suitableness suitability
turtlehead snakehead
logotype logo
artilleryman cannoneer gunner
dostoievski dostoevski dostoevsky dostoyevski dostoyevsky
sermon preaching
word-worship grammatolatry verbolatry
nonglutinous nonviscid
inosculation anastomosis
ike eisenhower
chopines chopine platforms
chewable cuttable
padouk padauk
orach orache
no-count meritless no-account
dilantin diphenylhydantoin
musteline mustelid
inartistic unartistic
underscore underline
padova padua patavium
over-correct overcompensate
cognoscenti connoisseur
sewn sewed stitched
funds finances
verapamil calan isoptin
dueler duelist dueller duellist
floozy floozie hooker streetwalker
radiotelegraphy radiotelegraph
inculpative inculpatory
closed-chain closed-ring
crookedly lopsidedly
clansman clanswoman
betting card-playing
moult molt
mexiletine mexitil
conceptualize conceptualise
humourous humorous
attender frequenter
coalbin coalhole
sculpturer sculptor
protrusile protrusible
tendinitis tendonitis
nutritionist dietician dietitian
legging legin
blissfulness bliss
caruncula caruncle
hillock hummock knoll
heat-releasing exothermal exothermic
charlatan mountebank
chancel bema
hiemal brumal hibernal
crankiness crotchetiness grumpiness
noninheritable nonheritable
muskhogean muskogean
archaean archean
mortice mortise
hypostatisation hypostatization reification
self-coloured self-colored
patrilineage agnation
heedfulness mindfulness
mangold-wurzel mangold
ablism able-bodiedism able-bodism ableism
skilful proficient
spindle-shanked spindle-legged
banning forbiddance
chide berate
bondmaid bondwoman
pessimal pessimum
coseismic coseismal
inn hostelry
twopence tuppence
tolazamide tolinase
leptorrhine leptorhine leptorrhinian leptorrhinic
sulfate sulphate
reedmace nailrod
desegrated nonsegregated unsegregated
emmet pismire
demobilization demobilisation
laniard lanyard
barefooted barefoot
extortionist blackmailer extortioner
snub-nosed pug-nose pug-nosed
exploitative exploitatory exploitive
criterial criterional
randomization randomisation
ambulatory ambulant
kaunas kovna kovno
haloragaceae haloragidaceae
restricting constraining
sorbefacient absorbefacient
zither cither zithern
goosey dopey dopy gooselike goosy
anyway anyhow
hebraical hebraic
satirical satiric
gunplay gunfight shootout
watchstrap watchband
quamassia camassia
protrusion jut
biographical biographic
discursively ramblingly
dexterously dextrously
pizzaz dynamism pizzazz
domed vaulted
reviled maligned
etiological aetiological etiologic aetiologic
wuerzburg wurzburg
kampuchea cambodia
aztreonam azactam
efficiently expeditiously
furore furor
adrenergic sympathomimetic
erstwhile onetime quondam
entombment inhumation interment
grisly gruesome macabre
teleconferencing teleconference
pantomimer mimer mummer pantomimist
whinny neigh
asynchronism asynchrony desynchronisation desynchronization desynchronizing
candymaker confectioner
metycaine piperocaine
monosaccharide monosaccharose
anachronous anachronic anachronistic
arizonan arizonian
acromikria acromicria
podgy pudgy tubby
helminthic anthelmintic anthelminthic
tokio edo tokyo yeddo yedo
housebreaking break-in
shotgun scattergun
dishonourableness dishonorableness
descry espy
limpness flabbiness flaccidity
dostoevski dostoevsky dostoievski dostoyevski dostoyevsky
unbecomingly indecorously
kilocalorie frigorie
blooper boner boo-boo foul-up misdoing
foregone bypast
newssheet newsletter
babbitting babbiting
fortaz ceftazidime tazicef
gallous gallows gallowstree
unattainable unachievable undoable unrealizable
lacepod fringepod
leipoa lowan
availableness availability handiness
dostoevsky dostoevski dostoievski dostoyevski dostoyevsky
netherlander dutchman hollander
bathymetric bathymetrical
stony-broke broke skint stone-broke
eulogise eulogize
vulcanisation vulcanization
platyrhine broadnosed platyrhinian platyrrhine platyrrhinian platyrrhinic
kuenlun kunlun
puglia apulia
tracheostomy tracheotomy
hothr hoder hodr hoth
applicability pertinence pertinency
repressive inhibiting inhibitory repressing
versify poetize
lidocaine xylocaine
sunroof sunshine-roof
unattainably unachievably
eulogist panegyrist
paneling panelling
higgle dicker
irrelevance irrelevancy
sunroom solarium
masturbator onanist
entirety entireness
funka hosta
xxvii twenty-seven
lapsed nonchurchgoing
biaxial biaxal biaxate
catachrestical catachrestic
didactical didactic
hangnail agnail
ish ly
irrelevancy irrelevance
norepinephrine noradrenaline
ism doctrine
starchlike amylaceous amyloidal
physiologic physiological
longanimous forbearing
xylocaine lidocaine
barrelled barreled
itemization itemisation
gladness gladfulness gladsomeness
falls waterfall
kebab kabob
gallows gallous gallowstree
cnidaria coelenterata
cuttlefish cuttle
umbellate umbellar
crottle crotal crottal
edental edentulate
superciliousness disdainfulness
fitfulness jerkiness
caribe pirana piranha
sepulcher sepulchre
incriminating criminative criminatory incriminatory
habsburg hapsburg
dayspring cockcrow dawning daybreak sunup
repugnant abhorrent
hypovitaminosis avitaminosis
araroba chrysarobin
expertise expertness
motherhood maternity
outhouse earth-closet jakes
deep-fry french-fry
echoing reechoing
gastronome epicure gourmet
papilloma villoma
numberless countless innumerable innumerous multitudinous uncounted unnumberable unnumbered unnumerable
small-grained powdered pulverized
scarabaean scarabaeid
thwarted disappointed foiled
hawkmoth sphingid
quoits horseshoes
oxidation-reduction redox
comburant comburent combustive
herniation hernia
louisianan louisianian
gulfweed sargasso sargassum
incrimination inculpation
seraglio hareem harem serail
forbearance longanimity
valance pelmet
miscellanea assortment
great-niece grandniece
stippled flecked specked speckled
aminopyrine amidopyrine
homogenization homogenisation
sunrose helianthemum
doggedly tenaciously
steatocystoma wen
hotly heatedly
even-tempered good-tempered
admittedly confessedly
synaesthetic synesthetic
tabbouleh tabooli
sunburned sunburnt
paleogeography palaeogeography
crassitude crassness
orang orangutan orangutang
splattered dabbled
obduracy adamance unyieldingness
acidophilic acidophilous aciduric
ormuzd ormazd
kookie barmy bats batty bonkers crackers daft kooky loco loopy nuts
heartlessness coldheartedness hardheartedness
masseuse masseur
achromic achromous
disgraceful shameful
bialystoker bialy
ivy-covered ivied
liquorice licorice
immunize vaccinate
downward-sloping declivitous
chimp chimpanzee
ambiguously equivocally
susian elamitic
melange farrago mingle-mangle oddments omnium-gatherum
sanative alterative
foliaged foliaceous foliose
rotter lowlife so-and-so stinker
panelist discussant
jeweled bejeweled bejewelled bespangled gemmed jewelled sequined spangled spangly
arapahoe arapaho
hydrotherapy hydropathy
perspiring sweating
pie-dog pye-dog
castile castilla
self-conceited conceited swollen-headed
acetify acidify
edematous dropsical
adactylism adactylia adactyly
empathic empathetic
phraseology wording
penology poenology
jeweler jeweller
tomfoolery foolery
trifoliate trifoliated trifoliolate
italia italy
incongruousness incongruity
betroth affiance
decennium decennary
nonsuch nonesuch
unshaved unshaven
gripping absorbing engrossing riveting
rarefied rarified
cosey cozey cozie
slowcoach slowpoke
eulogize eulogise
unshaven unshaved
unnamed nameless
kitul kittul
psittacosaurus psittacosaur
unmutilated unmarred
topographical topographic
philologist philologue
carragheen carageen carrageen
stammerer stutterer
symptomless asymptomatic
bilobed bilobate bilobated
ingerman inger
bounderish ill-bred lowbred yokelish
wroth wrathful wrothful
dunkirk dunkerque
teredinid shipworm
anticonvulsant antiepileptic
digenesis metagenesis
bulbous bellying bulgy protuberant
overcareful too-careful
cartouche cartouch
lagoon laguna lagune
trafficker seller vender vendor
goddamned goddam
onerousness burdensomeness
twopenny tuppeny
chitlings chitlins chitterlings
hemipteran hemipteron
limitlessness boundlessness infiniteness unboundedness
voiding excreting
isocarboxazid marplan
emotive affectional affective
mirthless unamused
ill-judged ill-considered
istanbul constantinople stamboul stambul
stuporous groggy logy
pisanosaur pisanosaurus
fiance groom-to-be
detractor depreciator disparager
hymnary hymnal hymnbook
certitude cocksureness overconfidence
papillose papillary
autacoid autocoid
atmospherical atmospheric
brigid bridget
hydrographical hydrographic
intercede liaise
axilla armpit
headlamp headlight
jehad jihad
biaural binaural
rubidium rb
twenty-nine xxix
despoilment despoliation spoilation spoliation
half-tracked half-track
parqueterie parquetry
radiancy effulgence refulgence refulgency
dolourous dolorous lachrymose
spearhead-shaped hastate
unusefulness inutility uselessness
headland promontory
striving nisus pains
veinlike veined venose
siliqua silique
uninominal one-member
ethnographic ethnographical
silique siliqua
automatonlike machinelike robotlike
acerb acerbic
scarabaeid scarabaean
distich doubleton duad dyad twain
lycanthrope werewolf wolfman
migraine hemicrania megrim
abhor abominate loathe
rower oarsman
hectometer hectometre hm
complin compline
bacterise bacterize
gifted talented
nightgown night-robe nightdress nightie
subordinating subordinative
vitamine vitamin
faddily faddishly
endoparasite endozoa entoparasite entozoa entozoon
courtship courting wooing
agamic agamogenetic agamous parthenogenetic
mortise mortice
loquacious gabby garrulous talky
caleche calash
mephistophelean mephistophelian
tactile tactual
flyover flypast
viciously brutally
flavoured flavored
stalingrad tsaritsyn volgograd
huisache cassie
irridentism irredentism
anapaest anapest
irridentist irredentist
persecuted downtrodden
shaped molded wrought
flavourer flavorer flavoring flavouring seasoner
totaliser totalizer
blusterous blustering gusty
piperine piperin
opencut opencast
huxleian huxleyan
buyback repurchase
aquitaine aquitania
extortioner blackmailer extortionist
impetus impulsion
articled apprenticed indentured
plumbism saturnism
jagannath jagannatha jagganath
perliche cheilosis
behemoth colossus
appeasable conciliable
ontogenesis ontogeny
untypicality atypicality
dishonored disgraced
mathematics math maths
pantropic pantropical
disinterment exhumation
hearer listener
emigre emigrant emigree outgoer
nosology diagnostics
masculinization virilization
unmapped chartless uncharted
bacterium bacteria
allegorical allegoric
perciformes percomorphi
kanaf bimli
laconicism laconism
dangerously hazardously perilously
aesthetics esthetics
banqueting feasting
quinacrine atabrine mepacrine
chive cive schnittlaugh
kirgiz kirghiz
expiation atonement
disforest deforest disafforest
hsian changan sian singan xian
bombastic declamatory turgid
pianoforte forte-piano
gill-over-the-ground alehoof
songlike ariose
intussusception infolding invagination
disentanglement extrication unsnarling untangling
ectozoan epizoan
chivy chevvy chevy chivvy
day-and-night around-the-clock round-the-clock
paleobiology palaeobiology
anlage primordium
sepulchre sepulcher
sawhorse sawbuck
obsessiveness obsessivity
arborous arborary arborical
consistently systematically
sawbuck sawhorse
autobiographic autobiographical
pharisaic holier-than-thou pharisaical sanctimonious self-righteous
courtesan concubine doxy odalisque
tercentenary tercentennial
boogie boogie-woogie
tokyo edo tokio yeddo yedo
affableness affability amiableness bonhomie geniality
communalise communalize
occidentalize westernize
monogamist monogynist
urbanize industrialize
polymorphous polymorphic
unpractised unpracticed
eminence preeminence
disrobe discase uncase
tadpole polliwog pollywog
slipperwort calceolaria
baronet bart
diverting amusive
